"","name","common_name","SPEC","project_code"
"1","1-10","Brewer's Blackbird","BRBL","EBIRD"
"2","1-10","House Wren","HOWR","EBIRD"
"3","1-12","California Scrub-Jay","CASJ","EBIRD"
"4","1-12","Cliff Swallow","CLSW","EBIRD"
"5","1-12","Common Raven","CORA","EBIRD"
"6","1-12","Lark Sparrow","LASP","EBIRD"
"7","1-12","Rock Pigeon","ROPI","EBIRD"
"8","1-12","Song Sparrow","SOSP","EBIRD"
"9","1-12","White-crowned Sparrow","WCSP","EBIRD"
"10","1-12","Wild Turkey","WITU","EBIRD"
"11","1-19","American Coot","AMCO","EBIRD"
"12","1-19","American Crow","AMCR","EBIRD"
"13","1-19","American Goldfinch","AMGO","EBIRD"
"14","1-19","Barn Swallow","BARS","EBIRD"
"15","1-19","Black-necked Stilt","BNST","EBIRD"
"16","1-19","Black Phoebe","BLPH","EBIRD"
"17","1-19","Brewer's Blackbird","BRBL","EBIRD"
"18","1-19","Brown-headed Cowbird","BHCO","EBIRD"
"19","1-19","Bullock's Oriole","BUOR","EBIRD"
"20","1-19","California Towhee","CALT","EBIRD"
"21","1-19","Canada Goose","CANG","EBIRD"
"22","1-19","Cinnamon Teal","CITE","EBIRD"
"23","1-19","Cliff Swallow","CLSW","EBIRD"
"24","1-19","Common Gallinule","COGA","EBIRD"
"25","1-19","Common Raven","CORA","EBIRD"
"26","1-19","European Starling","EUST","EBIRD"
"27","1-19","Golden Eagle","GOEA","EBIRD"
"28","1-19","Great-tailed Grackle","GTGR","EBIRD"
"29","1-19","House Finch","HOFI","EBIRD"
"30","1-19","House Sparrow","HOSP","EBIRD"
"31","1-19","Killdeer","KILL","EBIRD"
"32","1-19","Lesser Goldfinch","LEGO","EBIRD"
"33","1-19","Mallard","MALL","EBIRD"
"34","1-19","Northern Rough-winged Swallow","NRWS","EBIRD"
"35","1-19","Nuttall's Woodpecker","NUWO","EBIRD"
"36","1-19","Peregrine Falcon","PEFA","EBIRD"
"37","1-19","Pied-billed Grebe","PBGR","EBIRD"
"38","1-19","Red-tailed Hawk","RTHA","EBIRD"
"39","1-19","Red-winged Blackbird","RWBL","EBIRD"
"40","1-19","Savannah Sparrow","SAVS","EBIRD"
"41","1-19","Song Sparrow","SOSP","EBIRD"
"42","1-19","Tree Swallow","TRES","EBIRD"
"43","1-19","Violet-green Swallow","VGSW","EBIRD"
"44","1-19","Virginia Rail","VIRA","EBIRD"
"45","1-19","Western Bluebird","WEBL","EBIRD"
"46","1-19","Western Kingbird","WEKI","EBIRD"
"47","1-20","American Crow","AMCR","EBIRD"
"48","1-20","Barn Swallow","BARS","EBIRD"
"49","1-20","Black Phoebe","BLPH","EBIRD"
"50","1-20","Brewer's Blackbird","BRBL","EBIRD"
"51","1-20","Brown-headed Cowbird","BHCO","EBIRD"
"52","1-20","Bullock's Oriole","BUOR","EBIRD"
"53","1-20","Cinnamon Teal","CITE","EBIRD"
"54","1-20","Cliff Swallow","CLSW","EBIRD"
"55","1-20","Common Gallinule","COGA","EBIRD"
"56","1-20","Common Raven","CORA","EBIRD"
"57","1-20","European Starling","EUST","EBIRD"
"58","1-20","Golden Eagle","GOEA","EBIRD"
"59","1-20","House Finch","HOFI","EBIRD"
"60","1-20","House Sparrow","HOSP","EBIRD"
"61","1-20","Killdeer","KILL","EBIRD"
"62","1-20","Mallard","MALL","EBIRD"
"63","1-20","Red-tailed Hawk","RTHA","EBIRD"
"64","1-20","Red-winged Blackbird","RWBL","EBIRD"
"65","1-20","Tree Swallow","TRES","EBIRD"
"66","1-20","Western Bluebird","WEBL","EBIRD"
"67","1-20","Western Kingbird","WEKI","EBIRD"
"68","1-21","Bullock's Oriole","BUOR","EBIRD"
"69","1-21","Tree Swallow","TRES","EBIRD"
"70","1-21","Western Kingbird","WEKI","EBIRD"
"71","1-22","Red-winged Blackbird","RWBL","EBIRD"
"72","1-23","Ash-throated Flycatcher","ATFL","EBIRD"
"73","1-23","Bewick's Wren","BEWR","EBIRD"
"74","1-23","Brewer's Blackbird","BRBL","EBIRD"
"75","1-23","Bullock's Oriole","BUOR","EBIRD"
"76","1-23","California Quail","CAQU","EBIRD"
"77","1-23","California Scrub-Jay","CASJ","EBIRD"
"78","1-23","California Towhee","CALT","EBIRD"
"79","1-23","Cliff Swallow","CLSW","EBIRD"
"80","1-23","Common Raven","CORA","EBIRD"
"81","1-23","Dark-eyed Junco","DEJU","EBIRD"
"82","1-23","Downy Woodpecker","DOWO","EBIRD"
"83","1-23","Eurasian Collared-Dove","EUCD","EBIRD"
"84","1-23","European Starling","EUST","EBIRD"
