NAME,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,FIPS,LOCALITY_PAY_AREA_NAME,LOCALITY_PAY
Bibb County,Alabama,AL,01,007,01007,"Birmingham-Hoover-Talladega, AL",17.91
Blount County,Alabama,AL,01,009,01009,"Birmingham-Hoover-Talladega, AL",17.91
Calhoun County,Alabama,AL,01,015,01015,"Birmingham-Hoover-Talladega, AL",17.91
Chambers County,Alabama,AL,01,017,01017,"Atlanta-Athens-Clarke County-Sandy Springs, GA-AL",23.45
Cherokee County,Alabama,AL,01,019,01019,"Atlanta-Athens-Clarke County-Sandy Springs, GA-AL",23.45
Chilton County,Alabama,AL,01,021,01021,"Birmingham-Hoover-Talladega, AL",17.91
Clay County,Alabama,AL,01,027,01027,"Birmingham-Hoover-Talladega, AL",17.91
Cleburne County,Alabama,AL,01,029,01029,"Atlanta-Athens-Clarke County-Sandy Springs, GA-AL",23.45
Colbert County,Alabama,AL,01,033,01033,"Huntsville-Decatur, AL-TN",21.48
Coosa County,Alabama,AL,01,037,01037,"Birmingham-Hoover-Talladega, AL",17.91
Cullman County,Alabama,AL,01,043,01043,"Birmingham-Hoover-Talladega, AL",17.91
DeKalb County,Alabama,AL,01,049,01049,"Huntsville-Decatur, AL-TN",21.48
Etowah County,Alabama,AL,01,055,01055,"Birmingham-Hoover-Talladega, AL",17.91
Greene County,Alabama,AL,01,063,01063,"Birmingham-Hoover-Talladega, AL",17.91
Hale County,Alabama,AL,01,065,01065,"Birmingham-Hoover-Talladega, AL",17.91
Jefferson County,Alabama,AL,01,073,01073,"Birmingham-Hoover-Talladega, AL",17.91
Lauderdale County,Alabama,AL,01,077,01077,"Huntsville-Decatur, AL-TN",21.48
Lawrence County,Alabama,AL,01,079,01079,"Huntsville-Decatur, AL-TN",21.48
Lee County,Alabama,AL,01,081,01081,"Atlanta-Athens-Clarke County-Sandy Springs, GA-AL",23.45
Limestone County,Alabama,AL,01,083,01083,"Huntsville-Decatur, AL-TN",21.48
Madison County,Alabama,AL,01,089,01089,"Huntsville-Decatur, AL-TN",21.48
Marshall County,Alabama,AL,01,095,01095,"Huntsville-Decatur, AL-TN",21.48
