city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,timezone
New York,New York,NY,New York,36081,Queens,40.6943,-73.9249,America/New_York
Los Angeles,Los Angeles,CA,California,6037,Los Angeles,34.1141,-118.4068,America/Los_Angeles
Chicago,Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866,America/Chicago
Miami,Miami,FL,Florida,12086,Miami-Dade,25.784,-80.2101,America/New_York
Houston,Houston,TX,Texas,48201,Harris,29.786,-95.3885,America/Chicago
Dallas,Dallas,TX,Texas,48113,Dallas,32.7935,-96.7667,America/Chicago
Philadelphia,Philadelphia,PA,Pennsylvania,42101,Philadelphia,40.0077,-75.1339,America/New_York
Atlanta,Atlanta,GA,Georgia,13121,Fulton,33.7628,-84.422,America/New_York
Washington,Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,America/New_York
Boston,Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0852,America/New_York
Phoenix,Phoenix,AZ,Arizona,4013,Maricopa,33.5722,-112.0892,America/Phoenix
Detroit,Detroit,MI,Michigan,26163,Wayne,42.3834,-83.1024,America/Detroit
Seattle,Seattle,WA,Washington,53033,King,47.6211,-122.3244,America/Los_Angeles
San Francisco,San Francisco,CA,California,6075,San Francisco,37.7558,-122.4449,America/Los_Angeles
San Diego,San Diego,CA,California,6073,San Diego,32.8313,-117.1222,America/Los_Angeles
Minneapolis,Minneapolis,MN,Minnesota,27053,Hennepin,44.9635,-93.2678,America/Chicago
Tampa,Tampa,FL,Florida,12057,Hillsborough,27.9945,-82.4447,America/New_York
Brooklyn,Brooklyn,NY,New York,36047,Kings,40.6501,-73.9496,America/New_York
Denver,Denver,CO,Colorado,8031,Denver,39.762,-104.8758,America/Denver
Queens,Queens,NY,New York,36081,Queens,40.7498,-73.7976,America/New_York
Riverside,Riverside,CA,California,6065,Riverside,33.9381,-117.3949,America/Los_Angeles
Las Vegas,Las Vegas,NV,Nevada,32003,Clark,36.2333,-115.2654,America/Los_Angeles
Baltimore,Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,America/New_York
St. Louis,St. Louis,MO,Missouri,29510,St. Louis,38.6359,-90.2451,America/Chicago
Portland,Portland,OR,Oregon,41051,Multnomah,45.5371,-122.65,America/Los_Angeles
San Antonio,San Antonio,TX,Texas,48029,Bexar,29.4632,-98.5238,America/Chicago
Sacramento,Sacramento,CA,California,6067,Sacramento,38.5677,-121.4685,America/Los_Angeles
Austin,Austin,TX,Texas,48453,Travis,30.3005,-97.7522,America/Chicago
Orlando,Orlando,FL,Florida,12095,Orange,28.4773,-81.337,America/New_York
San Juan,San Juan,PR,Puerto Rico,72127,San Juan,18.3985,-66.061,America/Puerto_Rico
San Jose,San Jose,CA,California,6085,Santa Clara,37.3012,-121.848,America/Los_Angeles
Pittsburgh,Pittsburgh,PA,Pennsylvania,42003,Allegheny,40.4397,-79.9763,America/New_York
Indianapolis,Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458,America/Indiana/Indianapolis
Manhattan,Manhattan,NY,New York,36061,New York,40.7834,-73.9662,America/New_York
Cincinnati,Cincinnati,OH,Ohio,39061,Hamilton,39.1413,-84.506,America/New_York
Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1238,-94.5541,America/Chicago
Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga,41.4764,-81.6805,America/New_York
Columbus,Columbus,OH,Ohio,39049,Franklin,39.9862,-82.9855,America/New_York
Bronx,Bronx,NY,New York,36005,Bronx,40.8501,-73.8662,America/New_York
Virginia Beach,Virginia Beach,VA,Virginia,51810,Virginia Beach,36.7335,-76.0435,America/New_York
Charlotte,Charlotte,NC,North Carolina,37119,Mecklenburg,35.2083,-80.8303,America/New_York
Milwaukee,Milwaukee,WI,Wisconsin,55079,Milwaukee,43.0642,-87.9675,America/Chicago
Providence,Providence,RI,Rhode Island,44007,Providence,41.823,-71.4187,America/New_York
Jacksonville,Jacksonville,FL,Florida,12031,Duval,30.3322,-81.6749,America/New_York
Nashville,Nashville,TN,Tennessee,47037,Davidson,36.1715,-86.7842,America/Chicago
Salt Lake City,Salt Lake City,UT,Utah,49035,Salt Lake,40.7776,-111.9311,America/Denver
Raleigh,Raleigh,NC,North Carolina,37183,Wake,35.8324,-78.6429,America/New_York
Richmond,Richmond,VA,Virginia,51760,Richmond,37.5295,-77.4756,America/New_York
Memphis,Memphis,TN,Tennessee,47157,Shelby,35.1087,-89.9663,America/Chicago
Oklahoma City,Oklahoma City,OK,Oklahoma,40109,Oklahoma,35.4676,-97.5136,America/Chicago
Hartford,Hartford,CT,Connecticut,9110,Capitol,41.7661,-72.6834,America/New_York
Louisville,Louisville,KY,Kentucky,21111,Jefferson,38.1663,-85.6485,America/New_York
Buffalo,Buffalo,NY,New York,36029,Erie,42.9018,-78.8487,America/New_York
New Orleans,New Orleans,LA,Louisiana,22071,Orleans,30.0687,-89.9288,America/Chicago
Fort Worth,Fort Worth,TX,Texas,48439,Tarrant,32.7817,-97.3474,America/Chicago
Bridgeport,Bridgeport,CT,Connecticut,9120,Greater Bridgeport,41.1918,-73.1954,America/New_York
Tucson,Tucson,AZ,Arizona,4019,Pima,32.1541,-110.8787,America/Phoenix
El Paso,El Paso,TX,Texas,48141,El Paso,31.8476,-106.43,America/Denver
Omaha,Omaha,NE,Nebraska,31055,Douglas,41.2627,-96.0529,America/Chicago
McAllen,McAllen,TX,Texas,48215,Hidalgo,26.2252,-98.2467,America/Chicago
Birmingham,Birmingham,AL,Alabama,1073,Jefferson,33.5279,-86.7971,America/Chicago
Albuquerque,Albuquerque,NM,New Mexico,35001,Bernalillo,35.1054,-106.6465,America/Denver
Tulsa,Tulsa,OK,Oklahoma,40143,Tulsa,36.1283,-95.9042,America/Chicago
Fresno,Fresno,CA,California,6019,Fresno,36.783,-119.7939,America/Los_Angeles
Charleston,Charleston,SC,South Carolina,45019,Charleston,32.8168,-79.9687,America/New_York
Rochester,Rochester,NY,New York,36055,Monroe,43.168,-77.6162,America/New_York
Dayton,Dayton,OH,Ohio,39113,Montgomery,39.7805,-84.2003,America/New_York
Cape Coral,Cape Coral,FL,Florida,12071,Lee,26.6443,-81.9957,America/New_York
Mission Viejo,Mission Viejo,CA,California,6059,Orange,33.6096,-117.6551,America/Los_Angeles
Colorado Springs,Colorado Springs,CO,Colorado,8041,El Paso,38.8674,-104.7605,America/Denver
Baton Rouge,Baton Rouge,LA,Louisiana,22033,East Baton Rouge,30.442,-91.1311,America/Chicago
Allentown,Allentown,PA,Pennsylvania,42077,Lehigh,40.5961,-75.4756,America/New_York
Ogden,Ogden,UT,Utah,49057,Weber,41.2279,-111.9682,America/Denver
Provo,Provo,UT,Utah,49049,Utah,40.2457,-111.6457,America/Denver
Knoxville,Knoxville,TN,Tennessee,47093,Knox,35.9692,-83.9496,America/New_York
Grand Rapids,Grand Rapids,MI,Michigan,26081,Kent,42.9619,-85.6562,America/Detroit
Columbia,Columbia,SC,South Carolina,45079,Richland,34.0378,-80.9036,America/New_York
Albany,Albany,NY,New York,36001,Albany,42.6664,-73.7987,America/New_York
Bakersfield,Bakersfield,CA,California,6029,Kern,35.3529,-119.0359,America/Los_Angeles
New Haven,New Haven,CT,Connecticut,9170,South Central Connecticut,41.3113,-72.9246,America/New_York
Des Moines,Des Moines,IA,Iowa,19153,Polk,41.5725,-93.6105,America/Chicago
Akron,Akron,OH,Ohio,39153,Summit,41.0798,-81.5219,America/New_York
Palm Bay,Palm Bay,FL,Florida,12009,Brevard,27.9631,-80.6593,America/New_York
Concord,Concord,CA,California,6013,Contra Costa,37.9722,-122.0016,America/Los_Angeles
Wichita,Wichita,KS,Kansas,20173,Sedgwick,37.6895,-97.3443,America/Chicago
Mesa,Mesa,AZ,Arizona,4013,Maricopa,33.4015,-111.7178,America/Phoenix
Harrisburg,Harrisburg,PA,Pennsylvania,42043,Dauphin,40.2752,-76.8843,America/New_York
Staten Island,Staten Island,NY,New York,36085,Richmond,40.5834,-74.1496,America/New_York
Toledo,Toledo,OH,Ohio,39095,Lucas,41.6638,-83.5827,America/New_York
Worcester,Worcester,MA,Massachusetts,25027,Worcester,42.2705,-71.8079,America/New_York
Long Beach,Long Beach,CA,California,6037,Los Angeles,33.7977,-118.167,America/Los_Angeles
Port St. Lucie,Port St. Lucie,FL,Florida,12111,St. Lucie,27.2796,-80.3884,America/New_York
Little Rock,Little Rock,AR,Arkansas,5119,Pulaski,34.7256,-92.3577,America/Chicago
Reno,Reno,NV,Nevada,32031,Washoe,39.5497,-119.8483,America/Los_Angeles
Spokane,Spokane,WA,Washington,53063,Spokane,47.6671,-117.433,America/Los_Angeles
Madison,Madison,WI,Wisconsin,55025,Dane,43.0822,-89.393,America/Chicago
Boise,Boise,ID,Idaho,16001,Ada,43.6005,-116.2308,America/Boise
Bonita Springs,Bonita Springs,FL,Florida,12071,Lee,26.3558,-81.7859,America/New_York
Denton,Denton,TX,Texas,48121,Denton,33.2175,-97.1418,America/Chicago
Oakland,Oakland,CA,California,6001,Alameda,37.7904,-122.2166,America/Los_Angeles
Springfield,Springfield,MA,Massachusetts,25013,Hampden,42.1155,-72.5395,America/New_York
Augusta,Augusta,GA,Georgia,13245,Richmond,33.3645,-82.0708,America/New_York
Kissimmee,Kissimmee,FL,Florida,12097,Osceola,28.3041,-81.4169,America/New_York
Winston-Salem,Winston-Salem,NC,North Carolina,37067,Forsyth,36.1029,-80.261,America/New_York
Stockton,Stockton,CA,California,6077,San Joaquin,37.9765,-121.3109,America/Los_Angeles
Syracuse,Syracuse,NY,New York,36067,Onondaga,43.0407,-76.1437,America/New_York
Chattanooga,Chattanooga,TN,Tennessee,47065,Hamilton,35.066,-85.2481,America/New_York
Lancaster,Lancaster,PA,Pennsylvania,42071,Lancaster,40.042,-76.3012,America/New_York
Greenville,Greenville,SC,South Carolina,45045,Greenville,34.8354,-82.3646,America/New_York
Durham,Durham,NC,North Carolina,37063,Durham,35.9792,-78.9022,America/New_York
Pensacola,Pensacola,FL,Florida,12033,Escambia,30.4413,-87.1911,America/Chicago
Fayetteville,Fayetteville,AR,Arkansas,5143,Washington,36.0714,-94.1661,America/Chicago
Arlington,Arlington,TX,Texas,48439,Tarrant,32.6998,-97.125,America/Chicago
Aurora,Aurora,CO,Colorado,8005,Arapahoe,39.7083,-104.7237,America/Denver
Oxnard,Oxnard,CA,California,6111,Ventura,34.1964,-119.1815,America/Los_Angeles
Indio,Indio,CA,California,6065,Riverside,33.7346,-116.2346,America/Los_Angeles
Scranton,Scranton,PA,Pennsylvania,42069,Lackawanna,41.4044,-75.6649,America/New_York
Victorville,Victorville,CA,California,6071,San Bernardino,34.5277,-117.3536,America/Los_Angeles
Trenton,Trenton,NJ,New Jersey,34021,Mercer,40.2237,-74.7641,America/New_York
